x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89613.118625082,43162.908574508,0.0,0.0,0.0,0.556397887491232,0.830915995029157,8.33333333333333
89613.375130731,43163.451118264,0.0,0.0,0.0,0.512740939848026,0.858543376075876,8.33333333333333
89613.688374729,43163.962955628,0.0,0.0,0.0,0.464101078048109,0.885782247143497,8.33333333333333
89614.057699952,43164.435900812,0.0,0.0,0.0,0.413001566731086,0.910730314570493,8.33333333333333
89614.476668478,43164.865556309,0.0,0.0,0.0,0.364290850186684,0.931285228310995,8.33333333333333
89614.937373969,43165.250173629,0.0,0.0,0.0,0.317599122531039,0.948225077377473,8.33333333333333
89615.433215855,43165.588323819,0.0,0.0,0.0,0.272098273832043,0.962269468172831,8.33333333333333
89615.958661286,43165.878362041,0.0,0.0,0.0,0.226854874522341,0.973928573307844,8.33333333333333
89616.508891564,43166.118067382,0.0,0.0,0.0,0.180865541734894,0.983507832105542,8.33333333333333
89617.079401069,43166.304385755,0.0,0.0,0.0,0.133062753006428,0.991107614622323,8.33333333333333
89617.665538420,43166.433252888,0.0,0.0,0.0,0.0823211045452349,0.996605857772496,8.33333333333333
89618.261959312,43166.499525795,0.0,0.0,0.0,0.0275000350664456,0.999621802519005,8.33333333333333
89618.861988566,43166.497122409,0.0,0.0,0.0,-0.0324263241638871,0.999474128480182,8.33333333333333
89619.457104324,43166.420697157,0.0,0.0,0.0,-0.0945758816539165,0.995517655599028,8.33333333333333
89620.038837635,43166.273521442,0.0,0.0,0.0,-0.151528805909425,0.988452842061605,8.33333333333333
89620.601219935,43166.064051193,0.0,0.0,0.0,-0.201976136308671,0.979390443266536,8.33333333333333
89621.140946834,43165.801504140,0.0,0.0,0.0,-0.245800438507144,0.969320454973326,8.33333333333333
89621.656782291,43165.494579538,0.0,0.0,0.0,-0.283532530837308,0.958962618644226,8.33333333333333
89622.148883295,43165.150822138,0.0,0.0,0.0,-0.315979681704131,0.948765956782892,8.33333333333333
89622.618179610,43164.776483273,0.0,0.0,0.0,-0.343990191633714,0.938973241397113,8.33333333333333
89623.065954465,43164.376620734,0.0,0.0,0.0,-0.368341429162215,0.929690589154659,8.33333333333333
89623.493596065,43163.955275892,0.0,0.0,0.0,-0.389702836215001,0.920940660111163,8.33333333333333
89623.902452311,43163.515662208,0.0,0.0,0.0,-0.408635565138826,0.912697636078714,8.33333333333333
89624.293654564,43163.060264471,0.0,0.0,0.0,-0.425887884628081,0.904775944489584,8.33333333333333
89624.667825061,43162.590766632,0.0,0.0,0.0,-0.441934907813998,0.897047120978287,8.33333333333333
89625.025698805,43162.108721848,0.0,0.0,0.0,-0.456597566027466,0.889673346064607,8.33333333333333
89625.368331592,43161.615724172,0.0,0.0,0.0,-0.469733584223195,0.8828082237116,8.33333333333333
89625.697066925,43161.113347962,0.0,0.0,0.0,-0.48124375985495,0.876586814639983,8.33333333333333
89626.013343040,43160.603030664,0.0,0.0,0.0,-0.491450340772139,0.870905599106441,8.33333333333333
89626.318057619,43160.085724382,0.0,0.0,0.0,-0.50084540896308,0.865536756192714,8.33333333333333
89626.611963003,43159.562199222,0.0,0.0,0.0,-0.509431255296104,0.860511357349475,8.33333333333333
89626.895860879,43159.033177918,0.0,0.0,0.0,-0.517213198238773,0.855856592875009,8.33333333333333
89627.170590319,43158.499337071,0.0,0.0,0.0,-0.524200620086858,0.851594803824303,8.33333333333333
89627.437020392,43157.961304142,0.0,0.0,0.0,-0.530405644908426,0.847743977772344,8.33333333333333
89627.696040489,43157.419663106,0.0,0.0,0.0,-0.535841878318718,0.844318353134567,8.33333333333333
89627.948554261,43156.874957383,0.0,0.0,0.0,-0.540523384293228,0.84132899096144,8.33333333333333
89628.195475052,43156.327693236,0.0,0.0,0.0,-0.544463833582944,0.838784319071455,8.33333333333333
89628.437722712,43155.778343325,0.0,0.0,0.0,-0.547675810024277,0.836690628078414,8.33333333333333
89628.676220012,43155.227353989,0.0,0.0,0.0,-0.550170241154466,0.835052516760495,8.33333333333333
89628.911891438,43154.675149570,0.0,0.0,0.0,-0.55195598308878,0.833873247401845,8.33333333333333
89629.145662217,43154.122137903,0.0,0.0,0.0,-0.553039508100053,0.833155029079494,8.33333333333333
89629.378458318,43153.568714857,0.0,0.0,0.0,-0.553424690305178,0.83289922089087,8.33333333333333
89629.611205790,43153.015271336,0.0,0.0,0.0,-0.553112673847559,0.833106457800685,8.33333333333333
89629.844831188,43152.462198177,0.0,0.0,0.0,-0.552101827142368,0.833776692206048,8.33333333333333
89630.080261889,43151.909891316,0.0,0.0,0.0,-0.550387771081241,0.83490915759993,8.33333333333333
89630.318425965,43151.358757654,0.0,0.0,0.0,-0.547963487999891,0.836502250934803,8.33333333333333
89630.560251417,43150.809221545,0.0,0.0,0.0,-0.544819524133386,0.838553329325613,8.33333333333333
89630.806665644,43150.261728966,0.0,0.0,0.0,-0.540948592991866,0.841055657932411,8.33333333333333
89631.058330173,43149.716630063,0.0,0.0,0.0,-0.536886366656098,0.843654567520863,8.33333333333333
89631.315110112,43149.173921343,0.0,0.0,0.0,-0.533016062292119,0.846105121919614,8.33333333333333
89631.576718131,43148.633523557,0.0,0.0,0.0,-0.529344457794623,0.848407004333484,8.33333333333333
89631.842864611,43148.095346272,0.0,0.0,0.0,-0.525877550700489,0.85056028691049,8.33333333333333
89632.113257973,43147.559289805,0.0,0.0,0.0,-0.522620574831569,0.852565384450202,8.33333333333333
89632.387605424,43147.025246096,0.0,0.0,0.0,-0.519578014787699,0.854423013822353,8.33333333333333
89632.665614089,43146.493098741,0.0,0.0,0.0,-0.51675362131419,0.856134157044718,8.33333333333333
89632.946991382,43145.962724378,0.0,0.0,0.0,-0.514150439145413,0.857700020943557,8.33333333333333
89633.231445149,43145.433994327,0.0,0.0,0.0,-0.511770837965526,0.85912199914102,8.33333333333333
89633.518685706,43144.906772569,0.0,0.0,0.0,-0.50961652949159,0.860401646249557,8.33333333333333
89633.808424908,43144.380919175,0.0,0.0,0.0,-0.507688612092621,0.861540639291884,8.33333333333333
89634.100376861,43143.856290480,0.0,0.0,0.0,-0.505987599745325,0.862540752025065,8.33333333333333
89634.394257488,43143.332741213,0.0,0.0,0.0,-0.504513457809253,0.863403828396279,8.33333333333333
89634.689954280,43142.810214242,0.0,0.0,0.0,-0.502609152943869,0.864513758928709,8.33333333333333
89634.989572252,43142.289927881,0.0,0.0,0.0,-0.49782966504549,0.867274826453931,8.33333333333333
89635.296779403,43141.774093428,0.0,0.0,0.0,-0.489874692170824,0.871792857260566,8.33333333333333
89635.615258991,43141.265152451,0.0,0.0,0.0,-0.478604922899365,0.878030368368027,8.33333333333333
89635.948660686,43140.765869438,0.0,0.0,0.0,-0.463830601570086,0.885923909287436,8.33333333333333
89636.300531803,43140.279447482,0.0,0.0,0.0,-0.445340110181498,0.895361483571597,8.33333333333333
89636.674203396,43139.809592209,0.0,0.0,0.0,-0.422945122103356,0.906155297776809,8.33333333333333
89637.072595560,43139.360532831,0.0,0.0,0.0,-0.396547285271176,0.91801429757061,8.33333333333333
89637.497943670,43138.936954006,0.0,0.0,0.0,-0.36622440694506,0.930526562628783,8.33333333333333
89637.951506971,43138.543765905,0.0,0.0,0.0,-0.332318023678976,0.943167392957422,8.33333333333333
89638.433279166,43138.185744257,0.0,0.0,0.0,-0.295549101337873,0.955327550475948,8.33333333333333
89638.941507426,43137.866374257,0.0,0.0,0.0,-0.258101310313321,0.966117857000142,8.33333333333333
89639.473079773,43137.587585712,0.0,0.0,0.0,-0.220027845786789,0.97549359151069,8.33333333333333
89640.025101968,43137.351892178,0.0,0.0,0.0,-0.180415118751276,0.983590557562425,8.33333333333333
89640.594719157,43137.162699561,0.0,0.0,0.0,-0.138392490793869,0.990377462633247,8.33333333333333
89641.178733088,43137.024305491,0.0,0.0,0.0,-0.0931386590784487,0.995653147529333,8.33333333333333
89641.773186542,43136.941800314,0.0,0.0,0.0,-0.0439424545590637,0.999034063827317,8.33333333333333
89642.372924412,43136.920776939,0.0,0.0,0.0,0.00966159051151714,0.999953325745151,8.33333333333333
89642.971219136,43136.966718861,0.0,0.0,0.0,0.0674854343096088,0.997720259469579,8.33333333333333
89643.560213373,43137.081489356,0.0,0.0,0.0,0.124060233156625,0.992274689060002,8.33333333333333
89644.132941580,43137.260673984,0.0,0.0,0.0,0.177494723932967,0.984121752109951,8.33333333333333
89644.683495312,43137.499503449,0.0,0.0,0.0,0.228594392382366,0.973521753106389,8.33333333333333
89645.206464974,43137.793886043,0.0,0.0,0.0,0.278300178063584,0.960494149326157,8.33333333333333
89645.696413921,43138.140442918,0.0,0.0,0.0,0.327602589030715,0.944815613577788,8.33333333333333
